artist,song,genre,subgenre,year,beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20
Boy Harsher,Machina,Rock,New Wave,2022,501,123.046875,2.419086456298828,0.0550102271999487,5907.118173694281,2736.641398878474,3103.7342297348428,0.54423285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Killing Joke,Love Like Blood ,Rock,New Wave,1985,334,103.359375,1.3581604957580566,0.0412439569123428,4927.451580836361,2275.642034451225,2840.504655428253,0.4091417,0.0,0.0,0.0,0.0,0.00053833,0.12359098,0.2602146,0.32279402,0.34403127,0.34174755,0.25862545,0.179555,0.14162087,0.08912509,0.08081216,0.07877815,0.07889134,0.08492783,0.09284776,0.09616401
VVV Trippin You,Nunca Estuvimos Tan Lejos,Rock,New Wave,2019,520,122.2826087,-5.928457260131836,0.057182289573203,4700.799110819184,2481.954508927596,2922.249990617249,0.4528966,0.00010521,0.00014906,0.00018748,0.00020887,0.00020954,0.0002094,0.00019821,0.00019796,0.00019592,0.0001934,0.00020566,0.000215,0.00022154,0.0002294,0.00022719,0.00021624,0.00020932,0.00020407,0.00020772,0.00021522
Silent EM,Wraith,Rock,New Wave,2013,190,64.59960938,-4.806321620941162,0.0378768438948855,4107.1412073719575,1987.247361503984,2630.263425784323,0.4672951,0.00028468,0.0005984,0.00105018,0.00162594,0.00224558,0.00290065,0.00353958,0.00401123,0.00430458,0.00439187,0.00427981,0.004136,0.00404493,0.00413048,0.0045228,0.00512151,0.00577726,0.00640062,0.0069503,0.00755101
VVV Trippin You,Amianto,Rock,New Wave,2021,589,139.67483108,5.258917808532715,0.0530911300470881,4914.924942746671,2380.666619228129,2559.0879977250816,0.55101883,0.0,0.0,0.0,0.0,3e-08,0.00309219,0.01396336,0.01984018,0.02374918,0.02911767,0.03032495,0.030105,0.03111753,0.02916285,0.02998563,0.03000253,0.03130196,0.03405324,0.03521077,0.0361071
VVV Trippin You,Invierno nuclear,Rock,New Wave,2020,528,114.84375,8.282957077026367,0.0401486938012602,4359.247286957391,2095.0750443244124,2686.039898439392,0.5409342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VVV Trippin You,Lluvias de Marzo,Rock,New Wave,2021,457,161.49902344,8.184104919433594,0.0699337246816678,7460.12519944526,3413.024520863055,3646.611218350676,0.55493826,0.0587373,0.09571197,0.11260081,0.12298885,0.12021266,0.10514366,0.09852132,0.09068897,0.08662708,0.08256602,0.08059692,0.07977,0.07734361,0.07724198,0.07680973,0.07948179,0.08739129,0.0931462,0.09740196,0.09862805
VVV Trippin You,Matar el Tiempo,Rock,New Wave,2021,356,139.67483108,7.348276615142822,0.0455574649623362,5049.512495031797,2329.3153011081063,2848.4250774180027,0.4811953,0.0,0.00018296,0.06586852,0.10041794,0.1279815,0.14712413,0.15264422,0.19216622,0.21360357,0.23048021,0.24349853,0.229842,0.21710733,0.21998672,0.21249326,0.20559424,0.19749117,0.18553345,0.17897996,0.1743582
VVV Trippin You,Monstruo,Rock,New Wave,2021,358,129.19921875,6.652036666870117,0.044935920149341,6522.057054532284,2856.0483314369294,3509.635556149828,0.5577409,0.36116663,0.43962997,0.48035067,0.5176644,0.48772988,0.43973088,0.40490052,0.31354263,0.17839472,0.11781022,0.07685143,0.043578,0.02149089,0.00962848,0.00475619,0.00274141,0.00131875,0.00055936,0.00112297,0.19690432
Zanias,Unraveled,Rock,New Wave,2021,507,151.99908088,0.9869087338447572,0.0556955652716817,5869.982985692635,2823.5930314673087,3185.765412341307,0.4424073,0.01402672,0.02409305,0.03088177,0.03673558,0.04217681,0.04464426,0.04612383,0.04709555,0.0451116,0.04342768,0.04172117,0.038972,0.03590519,0.03099015,0.02559847,0.0209563,0.016353,0.0138384,0.0176367,0.01827783
Zanias,Follow the Body,Rock,New Wave,2016,155,117.45383523,-3.545161247253418,0.0313058825174673,1883.3209519629145,1181.146014001207,1664.5344635272872,0.38967147,0.0,1.2e-07,3.9e-07,1.67e-06,9.041e-05,0.00046086,0.00162853,0.00267535,0.00457396,0.03639334,0.06325429,0.111541,0.13671885,0.1595328,0.17606577,0.17477192,0.18871842,0.198146,0.19787806,0.2093889
Abel Ramos,Das spiegel,Electronica,Remember,1999,965,143.5546875,0.7268282771110535,0.0512388830509777,6128.107769930415,2809.425792377168,3088.272619005241,0.62592846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allegro,Moments In Love,Electronica,Remember,1999,770,139.67483108,4.520317554473877,0.0636255637538079,7270.049028934404,3316.419711183968,3533.033750891589,0.5657011,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-07,2.5e-06,7.352e-05,0.00412664,0.0729185,0.124563,0.18686692,0.23735487,0.26478976,0.27130413,0.25880983,0.23965421,0.21613374,0.20443058
Aquagen,Everybody Is Free,Electronica,Remember,2004,1227,139.67483108,-0.4118527472019195,0.0636192615260413,6161.79671455149,2899.6534056334194,3131.7346731099087,0.46041587,0.0,0.0,0.0,0.0,0.0,0.0,7.7e-07,8.23e-06,0.00011799,0.00230062,0.04322239,0.063526,0.07168371,0.07742349,0.06754746,0.05004219,0.03810417,0.02551529,0.01666647,0.01466953
Butcher,Don't let the Sun go down,Electronica,Remember,2003,1251,143.5546875,4.432338714599609,0.0752487492102594,6556.200561774998,3169.100469777434,3163.3429291861053,0.5020294,4e-08,4.1e-07,3.03e-06,6.91e-06,1.631e-05,0.00020423,0.00033109,0.00042039,0.00050229,0.00054921,0.00059522,0.000621,0.00067731,0.0007862,0.0009742,0.00102049,0.00104369,0.00139498,0.00155313,0.0016359
C Base ,In The Beginning,Electronica,Remember,2003,1042,139.67483108,4.848339080810547,0.04883121640917,6450.717247897941,2818.407689942365,3374.871835513657,0.5789776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,1e-07,2.8e-07,1.52e-06,2.93e-06,6.24e-06
Dave 202,Baracuda,Electronica,Remember,2001,1076,139.67483108,0.7859172224998474,0.0523626604058546,5509.449924046493,2553.181919377525,2983.772360424996,0.49661174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-08,5e-07,1.192e-05,0.00054852,0.001099,0.00286364,0.00563303,0.00970691,0.01437726,0.01842277,0.02220348,0.02404452,0.02488352
David,Max Apology,Electronica,Remember,2000,756,161.49902344,5.228976726531982,0.0801172101128333,7293.895437556766,3447.0284613336053,3311.061935848971,0.58907145,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-07,1.91e-06,1.657e-05,0.00014569,0.00023053,0.000292,0.00032147,0.00035516,0.05181494,0.06889084,0.08458859,0.10471797,0.10332943,0.1044228
Dj Crivi,Mankell (Gaupasa Version),Electronica,Remember,2001,691,99.38401442,-1.1418167352676392,0.0572908623900935,5144.183786345034,2486.556180059025,2627.9170647157025,0.5050564,0.0,0.0,0.0,0.0,1.2e-07,0.00209799,0.00267966,0.00267966,0.00267966,0.00166704,1.034e-05,0.001776,0.00286019,0.00620771,0.00700807,0.00778896,0.00910058,0.00769982,0.00755964,0.00713601
Dj Rai,A Hidde Place,Electronica,Remember,2001,1121,156.60511364,5.048874855041504,0.0674688385178415,7953.9458325552305,3630.2963224500136,3862.795071056317,0.571749,0.0,0.0,0.0,0.0,5.66e-06,5.661e-05,0.00013027,0.0651443,0.12805659,0.17553498,0.20851986,0.224159,0.21045399,0.18028751,0.15088417,0.12161601,0.10691056,0.10575741,0.10368124,0.10044695
Dj Liberty,Seguro,Electronica,Remember,2004,710,139.67483108,2.484124183654785,0.0902076197138436,7603.388910353131,3664.00196035464,3468.833437253034,0.6037843,1.122e-05,1.219e-05,1.465e-05,3.659e-05,0.15462102,0.27712592,0.35927644,0.43511263,0.47417539,0.47090408,0.4840005,0.505701,0.52795291,0.53628719,0.53444618,0.50693136,0.48116729,0.47294086,0.44662192,0.42828798
Jesus Elices,Maximizing the Audience,Electronica,Remember,2001,866,143.5546875,1.341450572013855,0.0676500305481702,6176.897974508217,2872.3204209310447,3140.206455554192,0.55484176,0.0,0.0,0.0,0.0,4.46e-06,0.00919894,0.01451118,0.0145528,0.01462578,0.03708115,0.06285941,0.082161,0.09357529,0.09501556,0.08824705,0.07798397,0.07297972,0.07404759,0.07091587,0.0706913
Espada y Vidar,Sienteme,Electronica,Remember,2004,714,99.38401442,3.820247650146485,0.0442092380615626,6492.009886714565,2843.0894033887885,3564.006350917827,0.5810801,0.00016508,0.00310443,0.01020786,0.01181091,0.01481901,0.01554408,0.01276768,0.0150002,0.01454964,0.0136482,0.01337267,0.011481,0.01156786,0.01272288,0.01252184,0.01090491,0.00863386,0.00767827,0.00814396,0.00746351
Fiocco,Afflitto,Electronica,Remember,1997,866,139.67483108,-0.5375840067863464,0.0904014832231136,7371.53764974523,3729.972456486174,3459.581275191248,0.5610283,1.122e-05,1.219e-05,1.342e-05,1.09e-05,9.95e-06,2.587e-05,5.027e-05,0.00042916,0.11121956,0.1841363,0.29910362,0.416529,0.49008882,0.5332306,0.52486247,0.4843809,0.42321101,0.38588339,0.35655424,0.32187688
4 Non Blondes,What's Up,Rock,Rock Baladas,1993,639,135.99917763,3.8244221210479736,0.050281342544595,5474.412917318768,2530.7503483196097,3007.5152323174952,0.4776097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerosmith,Amazing,Rock,Rock Baladas,1993,949,139.67483108,7.163891792297363,0.0746398951757341,5932.321396707423,2920.493275165949,2982.9054574666766,0.48504698,0.0,0.0,0.0,2.7e-07,7.5e-07,1.136e-05,0.02251018,0.03371032,0.06687403,0.10397659,0.15519436,0.204921,0.25233695,0.27914196,0.29063424,0.27713665,0.23930641,0.19934595,0.15348397,0.13751744
