beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,file
496,[126.04801829],4.7920732498168945,0.03946903769168579,5056.838912215731,2286.6499064959166,2963.1342254851124,0.4302528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134311e-14,1.3608785e-10,1.1356751e-09,1.6229566e-07,4.8213724e-07,4.3847318e-05,0.000101062644,0.00010400781,0.000104578976,9.782285e-05,0.0010206575,0.0032913804,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Psyche_Goodbye Horses_Rock_New Wave_1996.mp3
666,[126.04801829],8.344195365905762,0.031363092620939725,4410.445849889265,1913.9307451001716,2572.0437704272726,0.5365476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Rue Oberkampf_Hope and Fear_Rock_New Wave_2022.mp3
494,[135.99917763],-2.9226245880126953,0.06396616558488914,5289.426066128209,2461.3593193261604,2703.6638622129035,0.44143507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Sad lovers and Giants_Things we never did_Rock_New Wave_1982.mp3
479,[126.04801829],5.959661960601807,0.038440745287862725,4874.076335174573,2162.6164643618595,2882.2484205042597,0.5708868,3.116947e-12,1.080813e-05,0.077564806,0.1016846,0.11337195,0.13663766,0.12289211,0.12895665,0.13822396,0.17730826,0.1934378,0.19539385,0.20023227,0.15960734,0.18043953,0.17871168,0.16714388,0.18827051,0.16791902,0.16602847,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Ultra Sun_Distress_Rock_New Wave_2024.mp3
501,[123.046875],2.419086456298828,0.05501022719994876,5907.118173694281,2736.641398878474,3103.7342297348428,0.54423285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Boy Harsher_Machina_Rock_New Wave_2022.mp3
334,[103.359375],1.3581604957580566,0.04124395691234289,4927.451580836361,2275.642034451225,2840.5046554282535,0.4091417,0.0,0.0,0.0,4.105152e-09,0.0005383312,0.123590976,0.2602146,0.32279402,0.34403127,0.34174755,0.25862545,0.17955518,0.14162087,0.08912509,0.080812156,0.07877815,0.07889134,0.08492783,0.09284776,0.09616401,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Caminatas Nocturnas_Morir es sólo despertar_2002.mp3
520,[122.2826087],-5.928457260131836,0.05718228957320301,4700.799110819184,2481.954508927596,2922.249990617249,0.4528966,0.000105206265,0.00014905656,0.00018747838,0.00020887237,0.00020953959,0.0002093983,0.00019821095,0.00019795659,0.00019592146,0.00019339689,0.00020565728,0.0002145407,0.00022153744,0.00022940192,0.00022719399,0.00021623548,0.0002093204,0.00020407469,0.00020771587,0.00021522363,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Killing Joke_Love Like Blood _Rock_Dark Wave_1985.mp3
190,[64.59960938],-4.806321620941162,0.03787684389488554,4107.1412073719575,1987.2473615039842,2630.263425784323,0.4672951,0.00028468246,0.0005983985,0.0010501812,0.0016259411,0.0022455794,0.002900654,0.003539584,0.004011229,0.0043045753,0.0043918663,0.0042798147,0.004135972,0.004044931,0.0041304776,0.0045227995,0.005121511,0.0057772575,0.0064006173,0.0069502974,0.0075510098,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/VVV Trippin You_Nunca Estuvimos Tan Lejos_Rock_New Wave_2019.mp3
589,[139.67483108],5.258917808532715,0.05309113004708811,4914.924942746671,2380.666619228129,2559.0879977250816,0.55101883,0.0,0.0,0.0,0.0,2.9018238e-08,0.0030921907,0.013963361,0.01984018,0.023749182,0.029117666,0.030324949,0.030104801,0.031117532,0.029162854,0.02998563,0.030002529,0.031301957,0.034053244,0.035210773,0.036107104,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Silent EM_Wraith_ Rock_New Wave_2013.mp3
528,[114.84375],8.282957077026367,0.04014869380126025,4359.247286957391,2095.0750443244124,2686.039898439392,0.5409342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Sixth June_Drowning_2013.mp3
457,[161.49902344],8.184104919433594,0.06993372468166781,7460.12519944526,3413.024520863055,3646.6112183506757,0.55493826,0.0587373,0.09571197,0.11260081,0.12298885,0.12021266,0.10514366,0.09852132,0.09068897,0.08662708,0.08256602,0.08059692,0.079769805,0.07734361,0.07724198,0.07680973,0.07948179,0.08739129,0.093146205,0.09740196,0.09862805,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/VVV Trippin You_Amianto_Rock_New Wave_2021.mp3
356,[139.67483108],7.348276615142822,0.045557464962336286,5049.512495031797,2329.3153011081063,2848.4250774180027,0.4811953,1.00884245e-10,0.00018296075,0.06586852,0.10041794,0.1279815,0.14712413,0.15264422,0.19216622,0.21360357,0.23048021,0.24349853,0.22984184,0.21710733,0.21998672,0.21249326,0.20559424,0.19749117,0.18553345,0.17897996,0.1743582,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/VVV Trippin You_Invierno nuclear_Rock_New Wave_2020.mp3
358,[129.19921875],6.652036666870117,0.04493592014934109,6522.057054532284,2856.0483314369294,3509.6355561498276,0.5577409,0.36116663,0.43962997,0.48035067,0.5176644,0.48772988,0.43973088,0.40490052,0.31354263,0.17839472,0.11781022,0.07685143,0.043578163,0.021490892,0.00962848,0.0047561866,0.0027414095,0.001318749,0.00055936194,0.0011229663,0.19690432,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/VVV Trippin You_Lluvias de Marzo_Rock_New Wave_2021.mp3
507,[151.99908088],0.9869087338447571,0.05569556527168178,5869.982985692635,2823.5930314673087,3185.765412341307,0.4424073,0.014026719,0.024093045,0.030881768,0.03673558,0.042176813,0.044644255,0.04612383,0.04709555,0.045111597,0.043427676,0.041721173,0.03897181,0.035905194,0.030990152,0.025598474,0.020956298,0.016353,0.013838405,0.017636703,0.018277831,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/VVV Trippin You_Matar el Tiempo_Rock_New Wave_2021.mp3
155,[117.45383523],-3.545161247253418,0.031305882517467375,1883.3209519629143,1181.146014001207,1664.5344635272872,0.38967147,9.1520025e-10,1.1899534e-07,3.9396508e-07,1.6708084e-06,9.040814e-05,0.00046086343,0.0016285283,0.0026753533,0.0045739575,0.036393344,0.06325429,0.11154068,0.13671885,0.1595328,0.17606577,0.17477192,0.18871842,0.198146,0.19787806,0.2093889,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/VVV Trippin You_Monstruo_Rock_New Wave_2021.mp3
493,[129.19921875],3.561486005783081,0.06809759851660463,7929.585515509815,3575.6513436462897,3778.330477366166,0.48598567,0.0,0.0,1.384327e-14,2.8638994e-13,1.6580248e-11,2.5883397e-08,2.1686222e-07,4.6954756e-06,8.701105e-06,1.196218e-05,1.4196417e-05,1.6140753e-05,1.6698436e-05,1.6437061e-05,1.7104321e-05,1.742518e-05,1.8494271e-05,1.8736215e-05,2.2007474e-05,2.1480528e-05,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Zanias_Unraveled_Rock_New Wave_2021.mp3
528,[120.18531977],7.2245073318481445,0.08175442852855512,8950.847495738133,4049.98165415642,4080.2151104978752,0.54016894,0.0,0.0,0.0,0.0,3.5849215e-08,0.0026386876,0.022186868,0.058053415,0.08974077,0.11199678,0.13219352,0.13915375,0.13782603,0.14005286,0.13838162,0.14622888,0.153027,0.1552311,0.15705556,0.14984679,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Zanias_Follow the Body_Rock_New Wave_2016.mp3
