beats,tempo,rmse,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,file
84.71304086538461,[89.10290948],0.11936629,-171.8533,118.71524,5.9143167,46.8726,-17.844246,36.27609,-11.312719,20.463804,-7.532121,13.195081,-5.7072353,5.289235,1.0610496,1.0605593,4.162046,0.9427845,5.3217473,-2.9133778,6.1218295,-5.7907205,0.08122242589195779,8219.628150611235,3623.0151620353704,3875.5028738532674,0.5221453,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Linea Aspera_Malarone_Rock_New Wave_2012.mp3
45.20582637524558,[47.8515625],0.18901281,-181.16576,166.47446,-8.786422,37.87025,-6.7805095,30.23552,16.773714,10.410369,8.345712,3.348335,5.9140897,2.1986804,7.5257235,2.2890038,5.715059,-0.8913686,0.0123535395,-0.66283405,-0.44436586,1.737648,0.023364140190139857,3561.1208241549825,1608.8147714943198,2398.6923787237215,0.59118414,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Pleasure Symbols_Control_Rock_New Wave_2016.mp3
106.9651352028042,[126.04801829],0.21754357,-150.8977,150.19913,-0.7210189,47.65019,-4.356082,23.607845,-11.912719,14.291295,-8.6777315,4.990427,-4.9826155,2.194427,0.9115268,-2.288195,3.3425012,-6.099242,-1.7504792,-6.7525387,0.92563397,-6.03207,0.03946903769168579,5056.838912215731,2286.6499064959166,2963.1342254851124,0.4302528,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Psyche_Goodbye Horses_Rock_New Wave_1996.mp3
119.57570829280156,[126.04801829],0.3118379,-145.78517,165.18149,-9.247726,42.729683,0.16868852,18.574947,3.2532954,17.64739,-0.42078233,4.348205,9.163711,0.09111062,2.7696884,2.3341827,-0.10054976,3.9600775,6.145356,2.0881855,0.6886411,-2.0721717,0.031363092620939725,4410.445849889265,1913.9307451001716,2572.0437704272726,0.5365476,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Rue Oberkampf_Hope and Fear_Rock_New Wave_2022.mp3
119.16432797330097,[135.99917763],0.07586392,-222.07043,150.1186,-36.512627,44.695045,-7.2041636,22.278576,-2.7659051,7.1561456,5.654218,-5.2189384,1.2879716,-7.08937,11.67674,-6.549306,3.8009737,-2.2305548,-7.813136,-2.3817234,-6.9330716,-0.6737093,0.06396616558488914,5289.426066128209,2461.3593193261604,2703.6638622129035,0.44143507,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Sad lovers and Giants_Things we never did_Rock_New Wave_1982.mp3
109.33997487853357,[126.04801829],0.2195833,-151.81041,164.92119,-13.229025,43.451538,-3.0611467,26.327818,-12.526023,12.512577,-2.6469638,5.3908343,1.7411095,2.1917238,4.212395,-3.0428147,4.1118364,-1.8384529,3.9895422,-6.22845,1.4661206,-2.7439709,0.038440745287862725,4874.076335174573,2162.6164643618595,2882.2484205042597,0.5708868,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Ultra Sun_Distress_Rock_New Wave_2024.mp3
110.55304627455168,[123.046875],0.18703817,-152.69612,128.1947,-19.407236,42.525578,-7.9619193,24.278885,-5.9434557,13.030615,3.113643,3.0058107,4.9358788,-1.2744598,-0.35381985,0.29282156,4.275279,1.1679194,5.73009,-0.9695844,-0.44469714,-2.9811175,0.05501022719994876,5907.118173694281,2736.641398878474,3103.7342297348428,0.54423285,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Boy Harsher_Machina_Rock_New Wave_2022.mp3
102.82983215179316,[103.359375],0.18129478,-145.56183,165.29053,-16.039297,44.635815,-15.123346,14.508154,-11.960151,-0.39182994,-11.142427,0.2081385,-5.4673705,1.956601,-3.2568867,-5.3922033,-1.7356607,-10.16375,-0.8495891,-2.8157551,-1.1747241,-7.0060315,0.04124395691234289,4927.451580836361,2275.642034451225,2840.5046554282535,0.4091417,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Caminatas Nocturnas_Morir es sólo despertar_Rock_New Wave_2002.mp3
114.70159509969295,[122.2826087],0.066632256,-232.79187,171.76411,-42.413216,18.995783,-11.967516,22.4463,-16.172323,9.330465,-4.7346444,5.9504933,-0.73157775,-0.8892021,4.1432123,-5.2112017,9.097802,-5.3577466,1.4559176,-7.3578997,1.1521279,-5.043318,0.05718228957320301,4700.799110819184,2481.954508927596,2922.249990617249,0.4528966,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Killing Joke_Love Like Blood _Rock_Dark Wave_1985.mp3
56.90647208397627,[64.59960938],0.09364269,-258.15372,147.3061,-21.872248,39.368248,1.8227757,21.412027,-3.085783,12.684487,1.5566902,-2.3746166,1.7345266,2.8162339,-5.6969223,-5.701222,4.1870713,0.9768842,4.8113146,7.042847,11.368933,-1.5208303,0.03787684389488554,4107.1412073719575,1987.2473615039842,2630.263425784323,0.4672951,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/VVV Trippin You_Nunca Estuvimos Tan Lejos_Rock_New Wave_2019.mp3
131.8062524356976,[139.67483108],0.2026833,-121.223206,149.4849,-52.15728,50.40471,-5.8497524,19.82603,2.94552,6.3097253,3.9361703,6.293636,1.4551482,3.25559,3.6847322,3.4768429,3.1510024,1.4383141,5.402181,-0.69078666,3.303635,-1.0564548,0.05309113004708811,4914.924942746671,2380.666619228129,2559.0879977250816,0.55101883,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/New Wave/Silent EM_Wraith_ Rock_New Wave_2013.mp3
